id,fixedIndex,trait,question,responseOptions,p1,p2,p3,p4,SubGroupId,SubGroupSortOrder
11,,1,"<p>How many response options (i.e. anchor points) do the participants have for the scale items; and what do they mean?&nbsp;</p>","{""type"":""options"",""optionsRandomOrder"":""1"",""options"":[{""label"":""1-4; 1=never &amp; 4=always"",""value"":""1""},{""label"":""1-4; 1=always &amp; 4=never"",""value"":""2""},{""label"":""1-2; 1=always &amp; 2=never"",""value"":""3""},{""label"":""1-2; 1=never &amp; 2=always"",""value"":""4""}],""defaultScore"":""0"",""scoreMap"":[{""value"":""1"",""score"":""1"",""trait"":null}]}",1,1,1,1,1,1
12,,1,"<p>What is the level of measurement for the scale items (Peer01, Peer02, Peer03, &amp; Peer04)?&nbsp;</p>","{""type"":""options"",""optionsRandomOrder"":""1"",""options"":[{""label"":""Ordinal"",""value"":""1""},{""label"":""Nominal"",""value"":""2""},{""label"":""Scale"",""value"":""3""},{""label"":""Bidirectional"",""value"":""4""}],""defaultScore"":""0"",""scoreMap"":[{""value"":""1"",""score"":""1"",""trait"":null}]}",1,1,1,1,1,1
13,,1,"<p>Which statistical analysis technique is most appropriate?&nbsp;</p>","{""type"":""options"",""optionsRandomOrder"":""1"",""options"":[{""label"":""Principal components analysis (PCA)"",""value"":""1""},{""label"":""Principal Cronbach's Alpha (PCA)"",""value"":""2""},{""label"":""ANOVA"",""value"":""3""},{""label"":""Chi Square"",""value"":""4""}],""defaultScore"":""0"",""scoreMap"":[{""value"":""1"",""score"":""1"",""trait"":null}]}",1,1,1,1,1,1
14,,1,"<p>The peer church support scale is intended to measure...&nbsp;</p>","{""type"":""options"",""optionsRandomOrder"":""1"",""options"":[{""label"":""a single construct"",""value"":""1""},{""label"":""reliability"",""value"":""2""},{""label"":""bi-dimensionality"",""value"":""3""},{""label"":""significance"",""value"":""4""}],""defaultScore"":""0"",""scoreMap"":[{""value"":""1"",""score"":""1"",""trait"":null}]}",1,1,1,1,1,1
15,,1,"<p>What is a construct?&nbsp;</p>","{""type"":""options"",""optionsRandomOrder"":""1"",""options"":[{""label"":""An unobserved variable &amp; something that is only theorized to exist"",""value"":""1""},{""label"":""A proven fact&nbsp;"",""value"":""2""},{""label"":""Something flowing in the air&nbsp;"",""value"":""3""},{""label"":""The beginning of construction&nbsp;"",""value"":""4""}],""defaultScore"":""0"",""scoreMap"":[{""value"":""1"",""score"":""1"",""trait"":null}]}",1,1,1,1,1,1
16,,1,"<p>What is the construct in the study?&nbsp;</p>","{""type"":""options"",""optionsRandomOrder"":""1"",""options"":[{""label"":""The children's sense that they are loved and supported and valued by the other kids at their church"",""value"":""1""},{""label"":""The country that the sample subjects came from&nbsp;"",""value"":""2""},{""label"":""The children's ability to read and write at an appropriate level in order to be included in the study&nbsp;"",""value"":""3""},{""label"":""The building that the subjects were surveyed in&nbsp;"",""value"":""4""}],""defaultScore"":""0"",""scoreMap"":[{""value"":""1"",""score"":""1"",""trait"":null}]}",1,1,1,1,1,1
17,,1,"<p>Which of the following is NOT an assumption of the statistical technique used for this study?&nbsp;</p>","{""type"":""options"",""optionsRandomOrder"":""1"",""options"":[{""label"":""Bi-dimensionality"",""value"":""1""},{""label"":""Sphericity&nbsp;"",""value"":""2""},{""label"":""Linearity&nbsp;"",""value"":""3""},{""label"":""Sampling adequacy&nbsp;"",""value"":""4""}],""defaultScore"":""0"",""scoreMap"":[{""value"":""1"",""score"":""1"",""trait"":null}]}",1,1,1,1,1,1
18,,1,"<p>Is there a participant ID variable in this dataset? If so, what is the variable called?&nbsp;</p>","{""type"":""options"",""optionsRandomOrder"":""1"",""options"":[{""label"":""Yes, the participant ID variable is called 'ChildID#'"",""value"":""1""},{""label"":""No, there is no participant ID variable in this dataset.&nbsp;"",""value"":""2""},{""label"":""Yes, the participant ID variable is called 'Peer'&nbsp;"",""value"":""3""},{""label"":""Yes, the participant ID variable is called 'Type'&nbsp;"",""value"":""4""}],""defaultScore"":""0"",""scoreMap"":[{""value"":""1"",""score"":""1"",""trait"":null}]}",1,1,1,1,1,1
19,,1,"<p>After running tests, have the assumptions been satisfied?&nbsp;</p>","{""type"":""options"",""optionsRandomOrder"":""1"",""options"":[{""label"":""Yes, all of the assumptions have been satisfied."",""value"":""1""},{""label"":""No, the sphericity assumption was not satisfied.&nbsp;"",""value"":""2""},{""label"":""No, the bi-dimensionality assumption was not satisfied.&nbsp;"",""value"":""3""},{""label"":""No, the sampling adequacy assumption was not satisfied.&nbsp;"",""value"":""4""}],""defaultScore"":""0"",""scoreMap"":[{""value"":""1"",""score"":""1"",""trait"":null}]}",1,1,1,1,1,1
20,,1,"<p>In terms of reliability, how does the Spanish translation of the peer church support scale compare to the original English version?&nbsp;</p>","{""type"":""options"",""optionsRandomOrder"":""1"",""options"":[{""label"":""The internal reliability was lower than that of the original English version."",""value"":""1""},{""label"":""The internal reliability was higher."",""value"":""2""},{""label"":""The original English version reliably was lower."",""value"":""3""},{""label"":""The reliability for both the internal and original English version were the same."",""value"":""4""}],""defaultScore"":""0"",""scoreMap"":[{""value"":""1"",""score"":""1"",""trait"":null}]}",1,1,1,1,1,1
