"","id","trait","question","responseOptions","p1","p2","p3","p4"
"45",1045,NA,NA,NA,1,-2,0.25,1
"46",1046,NA,NA,NA,1,2,0.25,1
"47",1047,NA,NA,NA,1,1,0.25,1
"48",1048,NA,NA,NA,1,-1,0.25,1
"49",1049,NA,NA,NA,1,0,0.25,1
"50",1050,NA,NA,NA,1,2,0.25,1
"51",1051,NA,NA,NA,1,2,0.25,1
"52",1052,NA,NA,NA,1,-2,0.25,1
"53",1053,NA,NA,NA,1,-1,0.25,1
"54",1054,NA,NA,NA,1,1,0.25,1
"55",1055,NA,NA,NA,1,1,0.25,1
"56",1056,NA,NA,NA,1,-1,0.25,1
"57",1057,NA,NA,NA,1,1,0.25,1
"58",1058,NA,NA,NA,1,-2,0.25,1
"59",1059,NA,NA,NA,1,-1,0.25,1
"60",1060,NA,NA,NA,1,0,0.25,1
"61",1061,NA,NA,NA,1,2,0.25,1
"62",1062,NA,NA,NA,1,0,0.25,1
"63",1063,NA,NA,NA,1,2,0.25,1
"64",1064,NA,NA,NA,1,-1,0.25,1
"65",1065,NA,NA,NA,1,-1,0.25,1
"66",1066,NA,NA,NA,1,0,0.25,1
"67",1067,NA,NA,NA,1,0,0.25,1
"68",1068,NA,NA,NA,1,-3,0.25,1
"69",1069,NA,NA,NA,1,-2,0.25,1
"70",1070,NA,NA,NA,1,0,0.25,1
"71",1071,NA,NA,NA,1,-3,0.25,1
"72",1072,NA,NA,NA,1,-2,0.25,1
"73",1073,NA,NA,NA,1,-1,0.25,1
"74",1074,NA,NA,NA,1,-1,0.25,1
"75",1075,NA,NA,NA,1,-1,0.25,1
"76",1076,NA,NA,NA,1,-1,0.25,1
"77",1077,NA,NA,NA,1,-2,0.25,1
"78",1078,NA,NA,NA,1,-3,0.25,1
"79",1079,NA,NA,NA,1,-1,0.25,1
"80",1080,NA,NA,NA,1,-1,0.25,1
"81",1081,NA,NA,NA,1,-1,0.25,1
"82",1082,NA,NA,NA,1,1,0.25,1
"83",1083,NA,NA,NA,1,-2,0.25,1
"84",1084,NA,NA,NA,1,0,0.25,1
"85",1085,NA,NA,NA,1,-3,0.25,1
"86",1086,NA,NA,NA,1,-2,0.25,1
"87",1087,NA,NA,NA,1,0,0.25,1
"88",1088,NA,NA,NA,1,-2,0.25,1
"89",1089,NA,NA,NA,1,-1,0.25,1
"90",1090,NA,NA,NA,1,0,0.25,1
"91",1091,NA,NA,NA,1,3,0.25,1
"92",1092,NA,NA,NA,1,2,0.25,1
"93",1093,NA,NA,NA,1,-2,0.25,1
"94",1094,NA,NA,NA,1,-1,0.25,1
"95",1095,NA,NA,NA,1,-1,0.25,1
"96",1096,NA,NA,NA,1,-3,0.25,1
"97",1097,NA,NA,NA,1,-1,0.25,1
"98",1098,NA,NA,NA,1,2,0.25,1
"99",1099,NA,NA,NA,1,2,0.25,1
"100",1100,NA,NA,NA,1,-3,0.25,1
"101",1101,NA,NA,NA,3,-0.873576710035967,0.25,1
"102",1102,NA,NA,NA,3,-0.790281384124861,0.25,1
"103",1103,NA,NA,NA,3,-0.764979660737737,0.25,1
"104",1104,NA,NA,NA,3,-0.783878264179061,0.25,1
"105",1105,NA,NA,NA,3,-0.800839489398083,0.25,1
"106",1106,NA,NA,NA,3,-1.18153828923512,0.25,1
"107",1107,NA,NA,NA,1.66251262281379,-0.174003709550222,0.25,1
"108",1108,NA,NA,NA,2.89949866423575,-0.779291186438149,0.25,1
"109",1109,NA,NA,NA,1.07366542187123,-0.851896683025753,0.25,1
"110",1110,NA,NA,NA,1,-3,0.25,1
"111",1111,NA,NA,NA,1.32231642328307,-0.101253086466676,0.25,1
"112",1112,NA,NA,NA,2.98809299731597,-0.351796333082138,0.25,1
"113",1113,NA,NA,NA,3,-0.479834781548529,0.25,1
"114",1114,NA,NA,NA,3,-0.48463511238847,0.25,1
"115",1115,NA,NA,NA,1,0,0.25,1
"116",1116,NA,NA,NA,3,0.250475329248204,0.25,1
"117",1117,NA,NA,NA,0.940736119899371,-1.40897615724454,0.25,1
"118",1118,NA,NA,NA,3,-0.387240433297458,0.25,1
"119",1119,NA,NA,NA,3,-0.646959654259861,0.25,1
"120",1120,NA,NA,NA,3,-0.434564315087212,0.25,1
"121",1121,NA,NA,NA,3,4,0.25,1
"122",1122,NA,NA,NA,2.08741281046497,-0.616958432114661,0.25,1
"123",1123,NA,NA,NA,3,-0.749242228171236,0.25,1
"124",1124,NA,NA,NA,3,-0.228214680178995,0.25,1
"125",1125,NA,NA,NA,1,-1,0.25,1
"126",1126,NA,NA,NA,1,-1,0.25,1
"127",1127,NA,NA,NA,1,0,0.25,1
"128",1128,NA,NA,NA,1,1,0.25,1
"129",1129,NA,NA,NA,1.37507053025804,-2.74179686718242,0.25,1
"130",1130,NA,NA,NA,3,-0.486146462052322,0.25,1
"131",1131,NA,NA,NA,3,-0.284684185256639,0.25,1
"132",1132,NA,NA,NA,1.86642808697216,-0.509200896846557,0.25,1
"133",1133,NA,NA,NA,0.865335423216277,-3.73885326321573,0.25,1
"134",1134,NA,NA,NA,2.60841267553928,-1.46512700695161,0.25,1
"135",1135,NA,NA,NA,1,0,0.25,1
"136",1136,NA,NA,NA,1,-1,0.25,1
"137",1137,NA,NA,NA,1,0,0.25,1
"138",1138,NA,NA,NA,1,-2,0.25,1
"139",1139,NA,NA,NA,1,2,0.25,1
"140",1140,NA,NA,NA,1,1,0.25,1
"141",1141,NA,NA,NA,1,-2,0.25,1
"142",1142,NA,NA,NA,1,2,0.25,1
"143",1143,NA,NA,NA,1,2,0.25,1
"144",1144,NA,NA,NA,1,2,0.25,1
"145",1145,NA,NA,NA,1,2,0.25,1
"146",1146,NA,NA,NA,1,1,0.25,1
"147",1147,NA,NA,NA,1,0,0.25,1
"148",1148,NA,NA,NA,1,0,0.25,1
"149",1149,NA,NA,NA,1,1,0.25,1
"150",1150,NA,NA,NA,1,-3,0.25,1
"151",1151,NA,NA,NA,1,-2,0.25,1
"152",1152,NA,NA,NA,1,0,0.25,1
"153",1153,NA,NA,NA,1,0,0.25,1
"154",1154,NA,NA,NA,1,-2,0.25,1
"155",1155,NA,NA,NA,1,-2,0.25,1
"156",1156,NA,NA,NA,1,-3,0.25,1
"157",1157,NA,NA,NA,1,0,0.25,1
"158",1158,NA,NA,NA,1,3,0.25,1
"159",1159,NA,NA,NA,1,1,0.25,1
"160",1160,NA,NA,NA,1,0,0.25,1
"161",1161,NA,NA,NA,1,0,0.25,1
"162",1162,NA,NA,NA,1,1,0.25,1
"163",1163,NA,NA,NA,1,-1,0.25,1
"164",1164,NA,NA,NA,1,-2,0.25,1
"165",1165,NA,NA,NA,1,-2,0.25,1
"166",1166,NA,NA,NA,1,2,0.25,1
"167",1167,NA,NA,NA,1,-3,0.25,1
"168",1168,NA,NA,NA,1,0,0.25,1
"169",1169,NA,NA,NA,1,-2,0.25,1
"170",1170,NA,NA,NA,1,2,0.25,1
"171",1171,NA,NA,NA,1,0,0.25,1
"172",1172,NA,NA,NA,1,1,0.25,1
"173",1173,NA,NA,NA,1,-1,0.25,1
"174",1174,NA,NA,NA,1,0,0.25,1
"175",1175,NA,NA,NA,1,0,0.25,1
"176",1176,NA,NA,NA,1,1,0.25,1
"177",1177,NA,NA,NA,1,1,0.25,1
"178",1178,NA,NA,NA,1,0,0.25,1
"179",1179,NA,NA,NA,1,0,0.25,1
"180",1180,NA,NA,NA,1,1,0.25,1
"181",1181,NA,NA,NA,1,0,0.25,1
"182",1182,NA,NA,NA,1,1,0.25,1
"183",1183,NA,NA,NA,1,1,0.25,1
"184",1184,NA,NA,NA,1,-1,0.25,1
"185",1185,NA,NA,NA,1,2,0.25,1
"186",1186,NA,NA,NA,1,1,0.25,1
"187",1187,NA,NA,NA,1,2,0.25,1
"188",1188,NA,NA,NA,1,0,0.25,1
"189",1189,NA,NA,NA,1,0,0.25,1
"190",1190,NA,NA,NA,1,-1,0.25,1
"191",1191,NA,NA,NA,1,1,0.25,1
"192",1192,NA,NA,NA,1,0,0.25,1
"193",1193,NA,NA,NA,1,-1,0.25,1
"194",1194,NA,NA,NA,1,0,0.25,1
"195",1195,NA,NA,NA,1,2,0.25,1
"196",1196,NA,NA,NA,1,-2,0.25,1
"197",1197,NA,NA,NA,1,0,0.25,1
"198",1198,NA,NA,NA,1,1,0.25,1
"199",1199,NA,NA,NA,1,0,0.25,1
"200",1200,NA,NA,NA,1,0,0.25,1
"201",1201,NA,NA,NA,1,0,0.25,1
"202",1202,NA,NA,NA,1,0,0.25,1
"203",1203,NA,NA,NA,1,2,0.25,1
"204",1204,NA,NA,NA,1,0,0.25,1
"205",1205,NA,NA,NA,1,1,0.25,1
"206",1206,NA,NA,NA,1,0,0.25,1
"207",1207,NA,NA,NA,1,2,0.25,1
"208",1208,NA,NA,NA,2.39520000137559,1.39746630796792,0.25,1
"209",1209,NA,NA,NA,1,-1,0.25,1
"210",1210,NA,NA,NA,3,-0.38719128472734,0.25,1
"211",1211,NA,NA,NA,0.680509230111394,-0.31473399792806,0.25,1
"212",1212,NA,NA,NA,2.88095097894693,-0.685611805060186,0.25,1
"213",1213,NA,NA,NA,1,-1,0.25,1
"214",1214,NA,NA,NA,1,0,0.25,1
"215",1215,NA,NA,NA,1,0,0.25,1
"216",1216,NA,NA,NA,1,1,0.25,1
"217",1217,NA,NA,NA,1,1.5,0.25,1
"218",1218,NA,NA,NA,1,-1,0.25,1
"219",1219,NA,NA,NA,1,-2,0.25,1
"220",1220,NA,NA,NA,1,-1,0.25,1
"221",1221,NA,NA,NA,1,1.5,0.25,1
"222",1222,NA,NA,NA,1,-1,0.25,1
"223",1223,NA,NA,NA,1,-2,0.25,1
"224",1224,NA,NA,NA,1,-2,0.25,1
"225",1225,NA,NA,NA,1,-1,0.25,1
"226",1226,NA,NA,NA,1,-1,0.25,1
"227",1227,NA,NA,NA,1,-2,0.25,1
"228",1228,NA,NA,NA,1,-1,0.25,1
"229",1229,NA,NA,NA,1,0,0.25,1
"230",1230,NA,NA,NA,1,2,0.25,1
"231",1231,NA,NA,NA,1,-1,0.25,1
"232",1232,NA,NA,NA,1,-2,0.25,1
"233",1233,NA,NA,NA,1,-3,0.25,1
"234",1234,NA,NA,NA,1,-2,0.25,1
"235",1235,NA,NA,NA,1,-2,0.25,1
"236",1236,NA,NA,NA,1,-2,0.25,1
"237",1237,NA,NA,NA,1,-1,0.25,1
"238",1238,NA,NA,NA,1,-2,0.25,1
"239",1239,NA,NA,NA,1,-2,0.25,1
"240",1240,NA,NA,NA,1,0,0.25,1
"241",1241,NA,NA,NA,1,0,0.25,1
"242",1242,NA,NA,NA,1,0,0.25,1
"243",1243,NA,NA,NA,1,-2,0.25,1
"244",1244,NA,NA,NA,1,-1,0.25,1
"245",1245,NA,NA,NA,1,0,0.25,1
"246",1246,NA,NA,NA,1,-3,0.25,1
"247",1247,NA,NA,NA,1,-1,0.25,1
"248",1248,NA,NA,NA,1,-1,0.25,1
"249",1249,NA,NA,NA,1,-1,0.25,1
"250",1250,NA,NA,NA,1,3,0.25,1
"251",1251,NA,NA,NA,1,-1,0.25,1
"252",1252,NA,NA,NA,1,-1,0.25,1
"253",1253,NA,NA,NA,1,-2,0.25,1
"254",1254,NA,NA,NA,1,-3,0.25,1
"255",1255,NA,NA,NA,1,-1,0.25,1
"256",1256,NA,NA,NA,1,-1,0.25,1
"257",1257,NA,NA,NA,1,-3,0.25,1
"258",1258,NA,NA,NA,1,-1,0.25,1
"259",1259,NA,NA,NA,1,-2,0.25,1
"260",1260,NA,NA,NA,1,-2,0.25,1
"261",1261,NA,NA,NA,1,-1,0.25,1
"262",1262,NA,NA,NA,1,1,0.25,1
"263",1263,NA,NA,NA,1,0,0.25,1
"264",1264,NA,NA,NA,1,0,0.25,1
"265",1265,NA,NA,NA,1,0,0.25,1
"266",1266,NA,NA,NA,1,0,0.25,1
"267",1267,NA,NA,NA,1,0,0.25,1
"268",1268,NA,NA,NA,1,0,0.25,1
"269",1269,NA,NA,NA,1,0,0.25,1
"270",1270,NA,NA,NA,1,0,0.25,1
"271",1271,NA,NA,NA,1,0,0.25,1
"272",1272,NA,NA,NA,1,0,0.25,1
"273",1273,NA,NA,NA,1,0,0.25,1
"274",1274,NA,NA,NA,1,0,0.25,1
"275",1275,NA,NA,NA,1,0,0.25,1
"276",1276,NA,NA,NA,1,0,0.25,1
"277",1277,NA,NA,NA,1,0,0.25,1
"278",1278,NA,NA,NA,1,0,0.25,1
"279",1279,NA,NA,NA,1,0,0.25,1
"280",1280,NA,NA,NA,1,0,0.25,1
"281",1281,NA,NA,NA,1,0,0.25,1
"282",1282,NA,NA,NA,1,0,0.25,1
"283",1283,NA,NA,NA,1,0,0.25,1
"284",1284,NA,NA,NA,1,0,0.25,1
"285",1285,NA,NA,NA,1,0,0.25,1
"286",1286,NA,NA,NA,1,0,0.25,1
"287",1287,NA,NA,NA,1,0,0.25,1
"288",1288,NA,NA,NA,1,0,0.25,1
"289",1289,NA,NA,NA,1,0,0.25,1
"290",1290,NA,NA,NA,1,0,0.25,1
"291",1291,NA,NA,NA,1,0,0.25,1
"292",1292,NA,NA,NA,1,0,0.25,1
"293",1293,NA,NA,NA,1,0,0.25,1
"294",1294,NA,NA,NA,1,0,0.25,1
"295",1295,NA,NA,NA,1,0,0.25,1
"296",1296,NA,NA,NA,1,0,0.25,1
"297",1297,NA,NA,NA,1,0,0.25,1
"298",1298,NA,NA,NA,1,0,0.25,1
"299",1299,NA,NA,NA,1,0,0.25,1
"300",1300,NA,NA,NA,1,0,0.25,1
"301",1301,NA,NA,NA,1,0,0.25,1
"302",1302,NA,NA,NA,1,0,0.25,1
"303",1303,NA,NA,NA,1,0,0.25,1
"304",1304,NA,NA,NA,1,0,0.25,1
"305",1305,NA,NA,NA,1,0,0.25,1
"306",1306,NA,NA,NA,1,0,0.25,1
"307",1307,NA,NA,NA,1,0,0.25,1
"308",1308,NA,NA,NA,1,0,0.25,1
"309",1309,NA,NA,NA,1,0,0.25,1
"310",1310,NA,NA,NA,1,0,0.25,1
"311",1311,NA,NA,NA,1,0,0.25,1
"312",1312,NA,NA,NA,1,0,0.25,1
"313",1313,NA,NA,NA,1,0,0.25,1
"314",1314,NA,NA,NA,1,0,0.25,1
"315",1315,NA,NA,NA,1,0,0.25,1
"316",1316,NA,NA,NA,1,0,0.25,1
"317",1317,NA,NA,NA,1,0,0.25,1
"318",1318,NA,NA,NA,1,0,0.25,1
"319",1319,NA,NA,NA,1,0,0.25,1
"320",1320,NA,NA,NA,1,0,0.25,1
"321",1321,NA,NA,NA,1,0,0.25,1
"322",1322,NA,NA,NA,1,0,0.25,1
"323",1323,NA,NA,NA,1,0,0.25,1
"324",1324,NA,NA,NA,1,0,0.25,1
"325",1325,NA,NA,NA,1,0,0.25,1
"326",1326,NA,NA,NA,1,0,0.25,1
"327",1327,NA,NA,NA,1,0,0.25,1
"328",1328,NA,NA,NA,1,0,0.25,1
"329",1329,NA,NA,NA,1,0,0.25,1
"330",1330,NA,NA,NA,1,0,0.25,1
"331",1331,NA,NA,NA,1,0,0.25,1
"332",1332,NA,NA,NA,1,0,0.25,1
"333",1333,NA,NA,NA,1,0,0.25,1
"334",1334,NA,NA,NA,1,0,0.25,1
"335",1335,NA,NA,NA,1,0,0.25,1
"336",1336,NA,NA,NA,1,0,0.25,1
"337",1337,NA,NA,NA,1,0,0.25,1
"338",1338,NA,NA,NA,1,0,0.25,1
"339",1339,NA,NA,NA,1,0,0.25,1
"340",1340,NA,NA,NA,1,0,0.25,1
"341",1341,NA,NA,NA,1,0,0.25,1
"342",1342,NA,NA,NA,1,0,0.25,1
"343",1343,NA,NA,NA,1,0,0.25,1
"344",1344,NA,NA,NA,1,0,0.25,1
"345",1345,NA,NA,NA,1,0,0.25,1
"346",1346,NA,NA,NA,1,0,0.25,1
"347",1347,NA,NA,NA,1,0,0.25,1
"348",1348,NA,NA,NA,1,0,0.25,1
"349",1349,NA,NA,NA,1,0,0.25,1
"350",1350,NA,NA,NA,1,0,0.25,1
"351",1351,NA,NA,NA,1,0,0.25,1
"352",1352,NA,NA,NA,1,0,0.25,1
"353",1353,NA,NA,NA,1,0,0.25,1
"354",1354,NA,NA,NA,1,0,0.25,1
"355",1355,NA,NA,NA,1,0,0.25,1
"356",1356,NA,NA,NA,1,0,0.25,1
"357",1357,NA,NA,NA,1,0,0.25,1
"358",1358,NA,NA,NA,1,0,0.25,1
"359",1359,NA,NA,NA,1,0,0.25,1
"360",1360,NA,NA,NA,1,0,0.25,1
"361",1361,NA,NA,NA,1,0,0.25,1
"362",1362,NA,NA,NA,1,0,0.25,1
"363",1363,NA,NA,NA,1,0,0.25,1
"364",1364,NA,NA,NA,1,0,0.25,1
"365",1365,NA,NA,NA,1,0,0.25,1
"366",1366,NA,NA,NA,1,0,0.25,1
"367",1367,NA,NA,NA,1,0,0.25,1
"368",1368,NA,NA,NA,1,0,0.25,1
"369",1369,NA,NA,NA,1,0,0.25,1
"370",1370,NA,NA,NA,1,0,0.25,1
"371",1371,NA,NA,NA,1,0,0.25,1
"372",1372,NA,NA,NA,1,0,0.25,1
"373",1373,NA,NA,NA,1,0,0.25,1
"374",1374,NA,NA,NA,1,0,0.25,1
"375",1375,NA,NA,NA,1,0,0.25,1
"376",1376,NA,NA,NA,1,0,0.25,1
"377",1377,NA,NA,NA,1,0,0.25,1
"378",1378,NA,NA,NA,1,0,0.25,1
"379",1379,NA,NA,NA,1,0,0.25,1
"380",1380,NA,NA,NA,1,0,0.25,1
"381",1381,NA,NA,NA,1,0,0.25,1
"382",1382,NA,NA,NA,1,0,0.25,1
"383",1383,NA,NA,NA,1,0,0.25,1
"384",1384,NA,NA,NA,1,0,0.25,1
"385",1385,NA,NA,NA,1,0,0.25,1
"386",1386,NA,NA,NA,1,0,0.25,1
"387",1387,NA,NA,NA,1,0,0.25,1
"388",1388,NA,NA,NA,1,0,0.25,1
"389",1389,NA,NA,NA,1,0,0.25,1
"390",1390,NA,NA,NA,1,0,0.25,1
"391",1391,NA,NA,NA,1,0,0.25,1
"392",1392,NA,NA,NA,1,0,0.25,1
"393",1393,NA,NA,NA,1,0,0.25,1
"394",1394,NA,NA,NA,1,0,0.25,1
"395",1395,NA,NA,NA,1,0,0.25,1
"396",1396,NA,NA,NA,1,0,0.25,1
"397",1397,NA,NA,NA,1,0,0.25,1
"398",1398,NA,NA,NA,1,0,0.25,1
"399",1399,NA,NA,NA,1,0,0.25,1
"400",1400,NA,NA,NA,1,0,0.25,1
"401",1401,NA,NA,NA,1,0,0.25,1
"402",1402,NA,NA,NA,1,0,0.25,1
"403",1403,NA,NA,NA,1,0,0.25,1
"404",1404,NA,NA,NA,1,0,0.25,1
"405",1405,NA,NA,NA,1,0,0.25,1
"406",1406,NA,NA,NA,1,0,0.25,1
"407",1407,NA,NA,NA,1,0,0.25,1
"408",1408,NA,NA,NA,1,0,0.25,1
"409",1409,NA,NA,NA,1,0,0.25,1
"410",1410,NA,NA,NA,1,0,0.25,1
"411",1411,NA,NA,NA,1,0,0.25,1
"412",1412,NA,NA,NA,1,0,0.25,1
"413",1413,NA,NA,NA,1,0,0.25,1
"414",1414,NA,NA,NA,1,0,0.25,1
"415",1415,NA,NA,NA,1,0,0.25,1
"416",1416,NA,NA,NA,1,0,0.25,1
"417",1417,NA,NA,NA,1,0,0.25,1
"418",1418,NA,NA,NA,1,0,0.25,1
"419",1419,NA,NA,NA,1,0,0.25,1
"420",1420,NA,NA,NA,1,0,0.25,1
"421",1421,NA,NA,NA,1,0,0.25,1
"422",1422,NA,NA,NA,1,0,0.25,1
"423",1423,NA,NA,NA,1,0,0.25,1
"424",1424,NA,NA,NA,1,0,0.25,1
"425",1425,NA,NA,NA,1,0,0.25,1
"426",1426,NA,NA,NA,1,0,0.25,1
"427",1427,NA,NA,NA,1,0,0.25,1
"428",1428,NA,NA,NA,1,0,0.25,1
"429",1429,NA,NA,NA,1,0,0.25,1
"430",1430,NA,NA,NA,1,0,0.25,1
"431",1431,NA,NA,NA,1,0,0.25,1
"432",1432,NA,NA,NA,1,0,0.25,1
"433",1433,NA,NA,NA,1,0,0.25,1
"434",1434,NA,NA,NA,1,0,0.25,1
"435",1435,NA,NA,NA,1,0,0.25,1
"436",1436,NA,NA,NA,1,0,0.25,1
"437",1437,NA,NA,NA,1,0,0.25,1
"438",1438,NA,NA,NA,1,0,0.25,1
"439",1439,NA,NA,NA,1,0,0.25,1
"440",1440,NA,NA,NA,1,0,0.25,1
"441",1441,NA,NA,NA,1,0,0.25,1
"442",1442,NA,NA,NA,1,0,0.25,1
"443",1443,NA,NA,NA,1,0,0.25,1
"444",1444,NA,NA,NA,1,0,0.25,1
"445",1445,NA,NA,NA,1,0,0.25,1
"446",1446,NA,NA,NA,1,0,0.25,1
"447",1447,NA,NA,NA,1,0,0.25,1
"448",1448,NA,NA,NA,1,0,0.25,1
"449",1449,NA,NA,NA,1,0,0.25,1
"450",1450,NA,NA,NA,1,0,0.25,1
"451",1451,NA,NA,NA,1,0,0.25,1
"452",1452,NA,NA,NA,1,0,0.25,1
"453",1453,NA,NA,NA,1,0,0.25,1
"454",1454,NA,NA,NA,1,0,0.25,1
"455",1455,NA,NA,NA,1,0,0.25,1
"456",1456,NA,NA,NA,1,0,0.25,1
"457",1457,NA,NA,NA,1,0,0.25,1
"458",1458,NA,NA,NA,1,0,0.25,1
"459",1459,NA,NA,NA,1,0,0.25,1
"460",1460,NA,NA,NA,1,0,0.25,1
"461",1461,NA,NA,NA,1,0,0.25,1
"462",1462,NA,NA,NA,1,0,0.25,1
"463",1463,NA,NA,NA,1,0,0.25,1
"464",1464,NA,NA,NA,1,0,0.25,1
"465",1465,NA,NA,NA,1,0,0.25,1
"466",1466,NA,NA,NA,1,0,0.25,1
"467",1467,NA,NA,NA,1,0,0.25,1
"468",1468,NA,NA,NA,1,0,0.25,1
"469",1469,NA,NA,NA,1,0,0.25,1
"470",1470,NA,NA,NA,1,0,0.25,1
"471",1471,NA,NA,NA,1,0,0.25,1
"472",1472,NA,NA,NA,1,0,0.25,1
"473",1473,NA,NA,NA,1,0,0.25,1
"474",1474,NA,NA,NA,1,0,0.25,1
"475",1475,NA,NA,NA,1,0,0.25,1
"476",1476,NA,NA,NA,1,0,0.25,1
"477",1477,NA,NA,NA,1,0,0.25,1
"478",1478,NA,NA,NA,1,0,0.25,1
"479",1479,NA,NA,NA,1,0,0.25,1
"480",1480,NA,NA,NA,1,0,0.25,1
"481",1481,NA,NA,NA,1,0,0.25,1
"482",1482,NA,NA,NA,1,0,0.25,1
"483",1483,NA,NA,NA,1,0,0.25,1
"484",1484,NA,NA,NA,1,0,0.25,1
"485",1485,NA,NA,NA,1,0,0.25,1
"486",1486,NA,NA,NA,1,0,0.25,1
"487",1487,NA,NA,NA,1,0,0.25,1
"488",1488,NA,NA,NA,1,0,0.25,1
"489",1489,NA,NA,NA,1,0,0.25,1
"490",1490,NA,NA,NA,1,0,0.25,1
"491",1491,NA,NA,NA,1,0,0.25,1
"492",1492,NA,NA,NA,1,0,0.25,1
"493",1493,NA,NA,NA,1,0,0.25,1
"494",1494,NA,NA,NA,1,0,0.25,1
"495",1495,NA,NA,NA,1,0,0.25,1
"496",1496,NA,NA,NA,1,0,0.25,1
"497",1497,NA,NA,NA,1,0,0.25,1
"498",1498,NA,NA,NA,1,0,0.25,1
"499",1499,NA,NA,NA,1,0,0.25,1
"500",1500,NA,NA,NA,1,0,0.25,1
"501",1501,NA,NA,NA,3,0.129114919521784,0.25,1
"502",1502,NA,NA,NA,3,-0.179580258160628,0.25,1
"503",1503,NA,NA,NA,3,0.395535482761708,0.25,1
"504",1504,NA,NA,NA,3,0.138082043582216,0.25,1
"505",1505,NA,NA,NA,2.95846143153221,-0.688662573179685,0.25,1
"506",1506,NA,NA,NA,3,0.178708339962096,0.25,1
"507",1507,NA,NA,NA,3,-0.373847176646108,0.25,1
"508",1508,NA,NA,NA,2.89668064884178,0.0925214805099639,0.25,1
"509",1509,NA,NA,NA,3,0.0174941314503318,0.25,1
"510",1510,NA,NA,NA,3,-0.0228543706252648,0.25,1
"511",1511,NA,NA,NA,3,-0.00721658272288022,0.25,1
"512",1512,NA,NA,NA,3,0.256196946465509,0.25,1
"513",1513,NA,NA,NA,3,-0.233237349403321,0.25,1
"514",1514,NA,NA,NA,1,0,0.25,1
"515",1515,NA,NA,NA,3,0.0409269636635437,0.25,1
"516",1516,NA,NA,NA,3,-0.131819153078039,0.25,1
"517",1517,NA,NA,NA,3,0.383201112135327,0.25,1
"518",1518,NA,NA,NA,1.76652680647832,-0.597334307053688,0.25,1
"519",1519,NA,NA,NA,1,0,0.25,1
"520",1520,NA,NA,NA,3,0.236480047054721,0.25,1
"521",1521,NA,NA,NA,1,0,0.25,1
"522",1522,NA,NA,NA,3,0.0892533503975897,0.25,1
"523",1523,NA,NA,NA,1,0,0.25,1
"524",1524,NA,NA,NA,0.52050506150186,-4,0.25,1
"525",1525,NA,NA,NA,3,1.05413633695343,0.25,1
"526",1526,NA,NA,NA,2.94997939929573,-0.2628094230853,0.25,1
"527",1527,NA,NA,NA,1.78996571754519,0.186734661345872,0.25,1
"528",1528,NA,NA,NA,0.649286587567329,-4,0.25,1
