id,item_id,response,score,timeTaken,session_id,theta,sem,trait,skipped
1914,1914,$\pi \cdot (0.01 m)^2$,1,35.64370203,4,0.037841536,0.612937621,,
1919,1919,$unknown$,1,416.530416,4,0.24157374,0.576580804,,
1944,1944,$unknown$,0,281.60113,4,0.084933319,0.527960311,,
1965,1965,$\frac P 2$,1,671.416605,4,0.493349677,0.874934278,,
1974,1974,$V_D - \frac 12 \cdot 1.5 \cdot 1.5kN +3.00 kN$,1,322.738306,4,0.249945274,0.693106839,,
1987,1987,$-M_{a-a} + 135N \cdot (1.5m)$,0,240.196245,4,0.064775398,0.565735332,,
1859,1859,$unknown$,1,141.7130671,5,0.272390701,0.930635074,,
1010,1010,$$\frac VA$$,0,39.39916205,6,-0.811196578,0.45246214,,
1110,1110,Shear Force,0,5.277904987,6,-1.042617254,0.864432062,,
1118,1118,Change in Length,0,14.29828811,6,-0.869639059,0.455827099,,
1122,1122,Normal Stress,1,9.865343094,6,-0.684949352,0.576302802,,
1130,1130,Strain in the lateral direction,1,25.04237413,6,-1.071794743,0.724330788,,
1209,1209,Modulus of Rigidity,1,226.1856091,6,-0.806732478,0.654646516,,
1210,1210,Shear Strain,1,9.118989944,6,-0.912573191,0.517100681,,
1502,1502,$\Sigma M_y = 0$,0,135.8857849,6,-0.401062535,0.94022968,,
1503,1503,$\Sigma M_y = 0$,0,22.03811407,6,-1.010465142,0.553679247,,
1510,1510,$\tau_{avg} = \frac VA$,0,68.50610518,6,-1.081334291,0.558621844,,
1516,1516,$\Sigma M_x = 0$,0,42.54942608,6,-0.821548027,0.474101663,,
1518,1518,$\Sigma F_x = 0$,1,102.777853,6,-0.806620536,0.442674585,,
1521,1521,$\Sigma F_x = 0$,1,76.29675388,6,-0.99510207,0.536927406,,
1524,1524,$\sigma = \frac PA$,1,45.02799296,6,-0.981296979,0.763878818,,
1535,1535,$\tau_{avg} = \frac VA$,1,32.43049908,6,-0.857276708,0.544811083,,
1558,1558,$\tau = G \cdot \gamma$,0,67.78531599,6,-0.964422465,0.587151219,,
1559,1559,$\sigma = E \cdot \epsilon$,0,186.2670469,6,-1.009430935,0.810448685,,
1576,1576,$G = \frac E{2(1 + \nu)}$,1,274.7595768,6,-0.93669956,0.688176431,,
1584,1584,$\Sigma M_x = 0$,0,56.20341396,6,-0.791054355,0.601503056,,
1586,1586,$\sigma = \frac PA$,0,92.77541089,6,-0.784694497,0.579226233,,
1597,1597,$\Sigma F_y = 0$,1,17.1732831,6,-0.750739932,0.449380606,,
1821,1821,$N_C + 0.4kip$,1,53.07185984,6,-0.858939129,0.818431096,,
1827,1827,$F_{BC} \cdot \sin (\theta) - F_{AB} \cdot \sin (30^\circ)$,0,155.1922262,6,-0.674831801,0.903534797,,
1828,1828,$Unknown$,1,114.153506,6,-0.683617431,0.624339146,,
1829,1829,$20kg \cdot 9.81m/s^2$,0,16.99064398,6,-0.884692216,0.477741015,,
1844,1844,$4 \cdot (10^3) lb$,0,339.670634,6,-0.684342413,0.598877824,,
1849,1849,$A_x + F_{CF} \cdot \sin (30^\circ)$,0,71.4348259,6,-1.102493925,0.762357927,,
1876,1876,$8.00kip$,1,82.42670012,6,-0.758892106,0.482691996,,
1901,1901,$200 GPa$,1,57.3368578,6,-0.833843314,0.49906231,,
1912,1912,$2.70 GPa$,0,243.425349,6,-0.879715737,0.880116864,,
1920,1920,$200mm$,1,21.41981602,6,-0.866855445,0.562944071,,
1921,1921,$0.0006288$,0,81.80791593,6,-0.877571722,0.582900027,,
1925,1925,$0.126mm$,0,490.3605151,6,-0.935904601,0.549049512,,
1935,1935,$3mm$,0,261.786576,6,-0.755929845,0.470789785,,
1939,1939,$F_{BC} \cdot (\frac 45) \cdot 3m - P\cdot 2m - P\cdot 1m$,1,154.115202,6,-0.687616119,0.467849171,,
1940,1940,$Unknown$,1,33.66308999,6,-0.568097837,0.597389382,,
1944,1944,$0.78125 \cdot (10^{-3}) \frac {mm}{mm}$,0,252.5133309,6,-1.209606784,0.762019273,,
1975,1975,$3.00 kN \cdot (1.5m) - \frac 1 2 \cdot 1.5 \cdot 1.5kN \cdot (0.5m) - M_D$,1,100.120178,6,-0.816158722,0.462912813,,
1979,1979,$N_C - 80lb$,0,114.633554,6,-1.137538041,0.805227787,,
1980,1980,$V_C - 80lb$,0,142.4345021,6,-0.949419277,0.567223341,,
1003,1003,$tau$,1,10.71792817,7,-0.191339298,0.577669265,,
1546,1546,$c^2 = a^2 + b^2 - 2ab \cdot cos \alpha$,1,25.16030908,7,0.493349677,0.874934278,,
1552,1552,$\sigma = E \cdot \epsilon$,0,27.50125098,7,-0.232458731,0.554691821,,
1579,1579,$\tau = G \cdot \gamma$,0,23.78269792,7,-0.544423521,0.653768878,,
1584,1584,$\Sigma M_x = 0$,0,50.22349501,7,-0.680624349,0.726184814,,
1595,1595,$\Sigma M_z = 0$,1,94.50177979,7,-0.139826035,0.537321444,,
1824,1824,$unknown$,1,154.670512,7,-0.388168866,0.656573976,,
1842,1842,$8in^2$,0,69.02641296,7,-0.679158392,0.773159371,,
1880,1880,$\frac {0.0025in}{5in.}$,1,152.49664,7,-0.09180903,0.558763757,,
1916,1916,$2.70 GPa$,1,164.498209,7,-0.50910061,0.731393499,,
1921,1921,$0.4$,1,127.460933,7,-0.416979522,0.624718046,,
1928,1928,$33kN$,1,47.69387102,7,-0.299462597,0.599494562,,
1929,1929,$\pi \cdot [(0.01 m)^2 - (0.0125 m)^2]$,0,24.87926292,7,-0.242148052,0.800493909,,
1935,1935,$3mm$,0,19.23930693,7,-0.483829543,0.783397531,,
1957,1957,$Unknown$,1,107.2653668,7,0.272390701,0.930635074,,
1969,1969,$0.28$,1,32.82405186,7,-0.528729416,0.689117524,,
1981,1981,$M_C - 80lb \cdot (6.0 in.)$,0,76.74435592,7,0.069589957,0.828861258,,
1005,1005,$$\frac PA$$,1,6.779764175,8,0.324701927,0.404726989,,
1106,1106,Sum of the moments in the z-direction,1,14.6032021,8,0.155427063,0.550251604,,
1114,1114,Allowable Stress,1,23.86953998,8,0.230793961,0.373317607,,
1121,1121,Angle of Deformation,0,12.86998391,8,-0.139826035,0.537321444,,
1133,1133,Modulus of Elasticity,1,34.48906302,8,0.037841536,0.612937621,,
1502,1502,$\Sigma F_y = 0$,1,103.4715919,8,0.234485444,0.453595237,,
1504,1504,$\Sigma M_x = 0$,0,25.00697112,8,0.191230393,0.377804822,,
1508,1508,$\Sigma F_y = 0$,1,23.23391199,8,0.046617556,0.480650977,,
1541,1541,$\epsilon_{avg} = \frac{\Delta s' - \Delta s}{\Delta s}$,1,36.53503585,8,0.279711737,0.410000499,,
1545,1545,$\gamma = \theta_1 + \theta_2$,1,38.1512301,8,-0.144274791,0.704800967,,
1547,1547,$\sigma = \frac PA$,1,136.0843248,8,-0.305418567,0.741105998,,
1548,1548,$\sigma = E \cdot \epsilon$,1,59.08096981,8,0.232653905,0.415717157,,
1550,1550,$\sigma = E \cdot \epsilon$,1,13.975106,8,0.183347186,0.421934006,,
1554,1554,$\sigma = \frac PA$,1,111.8002841,8,0.026009875,0.508708232,,
1563,1563,$\nu = - \frac {\epsilon_{\text{lat}}}{\epsilon_{\text{long}}}$,1,57.61467695,8,0.231328559,0.385978061,,
1564,1564,$\epsilon_{avg} = \frac{\Delta s' - \Delta s}{\Delta s}$,0,103.217257,8,8.80E-09,0.542326144,,
1572,1572,$\delta = \sum \frac {NL}{AE}$,0,116.847322,8,0.077174754,0.436145637,,
1580,1580,$G = \frac E{2(1 + \nu)}$,1,74.11486983,8,0.112995453,0.470667504,,
1587,1587,$\Sigma M_x = 0$,0,34.65524697,8,-0.677283732,0.830703483,,
1591,1591,$\Sigma F_y = 0$,1,107.2723999,8,0.175490391,0.461695617,,
1598,1598,$\Sigma F_z = 0$,0,258.6731119,8,-0.024067583,0.491813417,,
1813,1813,$F_{BD} \cdot \sin (75^\circ) - 3.3kg \cdot 9.81 m/s^2 + C_y$,0,222.900563,8,-0.401062535,0.94022968,,
1819,1819,$-T - A_x$,0,26.84115195,8,0.188975739,0.390942274,,
1821,1821,$N_C + 0.4kip$,1,142.1029201,8,-0.0539021,0.52210367,,
1822,1822,$V_C - 0.8kip + 0.4kip \cdot 7$,0,638.2927229,8,-0.033845064,0.583597879,,
1830,1830,$7.069 \cdot 10^{-6} m^2$,1,64.36239886,8,0.064775398,0.565735332,,
1841,1841,$unknown$,1,138.904474,8,-0.483829543,0.783397531,,
1843,1843,$unknown$,1,65.78442907,8,0.144402748,0.593376802,,
1848,1848,$\frac \pi 4 \cdot (0.017m)^2$,1,26.545259,8,0.275575662,0.394905376,,
1852,1852,$unknown$,1,42.66367483,8,0.100544381,0.496855191,,
1858,1858,$\pi \cdot 4 in$,1,81.96378899,8,0.179772275,0.440474867,,
1864,1864,$5 in.$,0,28.481776,8,0.231942163,0.400020786,,
1866,1866,$unknown$,0,124.8524029,8,-0.449836457,0.849927641,,
1877,1877,$0.5 in^2$,1,43.52604914,8,0.272003014,0.381365205,,
1882,1882,$0.0025in.$,1,52.75862908,8,-0.150169581,0.880809041,,
1889,1889,$unknown$,0,89.93225813,8,0.123146278,0.448226805,,
1894,1894,$Unknown$,0,518.329206,8,-0.352089217,0.694545512,,
1899,1899,$\frac \pi 4 \cdot (0.005^2)$,1,36.96981001,8,0.131588209,0.428717685,,
1922,1922,$unknown$,1,473.8609612,8,-0.209067126,0.662845943,,
1957,1957,$Unknown$,1,224.336592,8,-0.079502351,0.6358665,,
1107,1107,Internal resultant Normal Force,1,57.80560517,9,-1.249959854,0.647295897,,
1112,1112,Factor of Safety,1,126.0091882,9,-1.250598942,0.557517029,,
1123,1123,Modulus of Elasticity,1,20.08330202,9,-1.22136136,0.623765778,,
1131,1131,Stress in the longitudinal direction,0,51.47411609,9,-1.314079551,0.537230265,,
1506,1506,$\Sigma M_y = 0$,0,115.68274,9,-0.150169581,0.880809041,,
1517,1517,$\Sigma M_y = 0$,0,13.60176897,9,-1.291984424,0.629075663,,
1522,1522,$\sigma = E \cdot \epsilon$,0,29.72061992,9,-1.261498807,0.531852762,,
1527,1527,$\Sigma F_x = 0$,0,37.03917003,9,-1.044745073,0.690520671,,
1532,1532,$\sigma = E \cdot \epsilon$,0,62.65894604,9,-0.50910061,0.731393499,,
1538,1538,$\tau = G \cdot \gamma$,0,53.26297307,9,-1.361115915,0.598840937,,
1541,1541,$\sigma = \frac PA$,0,22.667032,9,-0.93669956,0.688176431,,
1542,1542,$\sigma = \frac PA$,0,9.116945028,9,-0.056770125,0.757936385,,
1543,1543,$\epsilon_{avg} = \frac{\Delta s' - \Delta s}{\Delta s}$,1,12.68453884,9,-1.281122801,0.672886317,,
1559,1559,$\epsilon_{avg} = \frac{\Delta s' - \Delta s}{\Delta s}$,1,24.64869809,9,0.272390701,0.930635074,,
1573,1573,$\tau_{avg} = \frac VA$,0,15.05337,9,-1.207063312,0.526586408,,
1576,1576,$\tau_{avg} = \frac VA$,0,33.84851193,9,-0.680624349,0.726184814,,
1577,1577,$\nu = - \frac {\epsilon_{\text{lat}}}{\epsilon_{\text{long}}}$,0,75.75062203,9,-1.391341053,0.704584315,,
1578,1578,$\Sigma M_x = 0$,0,25.72081089,9,-1.232565006,0.696979628,,
1581,1581,$\sigma = E \cdot \epsilon$,0,21.03296995,9,-1.328671498,0.613081755,,
1582,1582,$\sigma = \frac PA$,0,39.775635,9,-1.355672928,0.677481712,,
1584,1584,$\Sigma F_x = 0$,1,33.31350803,9,-1.263663494,0.607548376,,
1589,1589,$\Sigma M_x = 0$,0,27.54328918,9,-1.142875473,0.693534461,,
1803,1803,$4ft \cdot C_y - 8ft \cdot 820lb - M_E$,1,20.31104898,9,-1.300757067,0.593195865,,
1815,1815,$0$,0,40.23365092,9,-0.828205598,0.723880498,,
1816,1816,$A_y + \frac 12 \cdot 6kip \cdot 6kip - V_D$,0,36.21481991,9,-0.305418567,0.741105998,,
1821,1821,$N_C - 0.4kip$,0,17.17911696,9,-1.322600888,0.652345769,,
1842,1842,$2in ^2$,1,13.04298496,9,0.069589957,0.828861258,,
1846,1846,$15kN$,0,24.24960899,9,-1.150657444,0.521458129,,
1871,1871,$0.0017$,1,14.46696877,9,-1.169972425,0.536220007,,
1872,1872,$500 mm$,0,257.75845,9,-1.315059184,0.70070052,,
1887,1887,$600kip$,0,29.09411907,9,-1.333676989,0.580330368,,
1897,1897,$80kg \cdot 9.81m/s^2$,0,21.38656807,9,-0.957310394,0.723475843,,
1916,1916,$2.70 GPa$,1,15.98263788,9,0.257858526,0.786101216,,
1932,1932,$\frac {3 mm}{900 mm}$,1,125.2113168,9,-0.816575064,0.686802105,,
1935,1935,$\frac {\pi \cdot 2 \cdot 0.09 mm}{\pi \cdot 2 \cdot 12.5 mm}$,0,8.81019783,9,-1.358657708,0.634473248,,
1950,1950,$-N - 1.8 kN \cos (60^\circ)$,0,37.28548598,9,-1.3649091,0.542694565,,
1951,1951,$4MPa$,0,9.833564997,9,-1.390438652,0.618673567,,
1958,1958,$4.0 MPa$,1,19.87459207,9,-1.092151216,0.516497768,,
1974,1974,$V_D - \frac 12 \cdot 1.5 \cdot 1.5kN +3.00 kN$,1,22.64071202,9,-1.291736387,0.522977834,,
1985,1985,$N_{a-a}  + 135N$,1,38.77325678,9,-1.274778957,0.574710145,,
1002,1002,$epsilon$,1,6.299951077,10,0.297252161,0.468402022,,
1004,1004,$gamma$,1,6.637140989,10,0.679659714,0.700123151,,
1104,1104,Sum of the moments in the x-direction,1,17.92213202,10,0.396273265,0.381640807,,
1121,1121,Angle between the two line segments,1,23.31466699,10,0.448787758,0.391107646,,
1122,1122,Normal Stress,1,17.68902588,10,0.519035521,0.496658427,,
1130,1130,Strain in the lateral direction,1,18.97499609,10,0.272390701,0.930635074,,
1134,1134,Poisson's Ratio,1,6.56842804,10,0.290308971,0.446249289,,
1209,1209,Modulus of Rigidity,1,14.87556982,10,0.78713763,0.680738185,,
1501,1501,$\Sigma F_x = 0$,1,72.85333395,10,0.766364076,0.603399357,,
1514,1514,$\Sigma M_y = 0$,0,47.24578094,10,0.316586523,0.524871738,,
1515,1515,$\Sigma F_x = 0$,1,44.0584321,10,0.493349677,0.874934278,,
1522,1522,$\Sigma M_y = 0$,0,86.14124489,10,0.330602178,0.562048491,,
1536,1536,$\sigma = \frac PA$,0,44.83150506,10,0.591079543,0.631052809,,
1546,1546,$c^2 = a^2 + b^2 - 2ab \cdot cos \alpha$,1,78.42849398,10,0.488350875,0.538235935,,
1550,1550,$\sigma = E \cdot \epsilon$,1,28.58275795,10,0.355348068,0.460743687,,
1553,1553,$\Sigma M_x = 0$,0,63.46062207,10,0.234485444,0.453595237,,
1556,1556,$\sigma = \frac PA$,1,47.34747386,10,0.279711737,0.410000499,,
1559,1559,$\epsilon_{avg} = \frac{\Delta s' - \Delta s}{\Delta s}$,1,100.166996,10,0.232653905,0.415717157,,
1562,1562,$G = \frac E{2(1 + \nu)}$,0,93.84099889,10,0.37012781,0.48533833,,
1570,1570,$\sigma = E \cdot \epsilon$,1,57.34689999,10,0.455960008,0.50502797,,
1581,1581,$\Sigma F_x = 0$,1,28.415905,10,0.367786323,0.399847617,,
1588,1588,$\Sigma F_y = 0$,1,37.12183499,10,0.558096565,0.723316958,,
1596,1596,$\Sigma F_x = 0$,1,59.57887888,10,0.409109787,0.395320106,,
1817,1817,$M_D - A_y \cdot 2ft$,1,285.5867178,10,0.418999684,0.751478407,,
1825,1825,$600kN$,1,18.42402411,10,0.682788358,0.616235521,,
1828,1828,$Unknown$,1,111.5820949,10,0.433500652,0.377800089,,
1854,1854,$unknown$,0,69.48762894,10,0.531354761,0.579092257,,
1856,1856,$Unknown$,1,31.6170969,10,0.673821941,0.831512979,,
1858,1858,$\pi \cdot 4 in$,1,53.70597315,10,0.88319714,0.664301621,,
1876,1876,$8.00kip$,1,23.88524103,10,0.324701927,0.404726989,,
1899,1899,$unknown$,0,114.6304171,10,0.235692451,0.47687978,,
1929,1929,$\pi \cdot [(0.0125 m)^2 - (0.01 m)^2]$,1,43.02497196,10,0.469388391,0.37420357,,
1946,1946,$-0.32$,0,105.65605,10,0.257858526,0.786101216,,
1953,1953,$0.1m \cdot 0.05m$,1,69.66054201,10,0.388661012,0.514373485,,
1964,1964,$60 ksi$,1,50.09339094,10,0.343254776,0.439559453,,
1965,1965,$unknown$,0,81.24571586,10,0.35761638,0.385751603,,
1973,1973,$N_D$,1,125.6173749,10,0.41258166,0.549375131,,
1980,1980,$V_C + 80lb$,0,88.383564,10,0.183347186,0.421934006,,
1988,1988,$60 ksi$,1,18.285182,10,0.284556306,0.426973379,,
1989,1989,$11.01 ksi$,0,48.82935095,10,0.233489689,0.433419533,,
1002,1002,$epsilon$,1,20.57167482,11,0.026009875,0.508708232,,
1003,1003,$tau$,1,8.275544882,11,0.275575662,0.394905376,,
1117,1117,Average Normal Strain,1,23.31406307,11,0.077174754,0.436145637,,
1123,1123,Modulus of Elasticity,1,190.9214211,11,0.069589957,0.828861258,,
1502,1502,$\Sigma M_y = 0$,0,49.547297,11,0.063338779,0.456778286,,
1506,1506,$\Sigma M_y = 0$,0,26.11678696,11,0.046617556,0.480650977,,
1519,1519,$\tau_{avg} = \frac VA$,0,30.68621397,11,-0.14149819,0.604322824,,
1528,1528,$\tau_{avg} = \frac VA$,1,278.6072171,11,0.037841536,0.612937621,,
1532,1532,$\sigma = \frac PA$,1,53.31792402,11,0.191230393,0.377804822,,
1548,1548,$\sigma = E \cdot \epsilon$,1,51.24436998,11,0.123146278,0.448226805,,
1563,1563,$\delta = \int_0^L \frac {N(x)dx}{AE}$,0,122.760793,11,0.019818513,0.444310256,,
1564,1564,$\sigma = \frac PA$,1,59.89763808,11,0.232653905,0.415717157,,
1568,1568,$\Sigma F_y = 0$,0,104.5757012,11,-0.305418567,0.741105998,,
1569,1569,$\tau_{avg} = \frac VA$,0,57.20499921,11,0.231328559,0.385978061,,
1577,1577,$\nu = - \frac {\epsilon_{\text{lat}}}{\epsilon_{\text{long}}}$,0,123.742269,11,-0.191339298,0.577669265,,
1593,1593,$\Sigma M_y = 0$,0,28.52313089,11,-0.0539021,0.52210367,,
1803,1803,$4ft \cdot C_y - 8ft \cdot 820lb - M_E$,1,115.17329,11,0.112995453,0.470667504,,
1815,1815,$N_D$,1,103.6117659,11,-0.209067126,0.662845943,,
1819,1819,$T - A_x$,1,36.79039311,11,-0.09180903,0.558763757,,
1821,1821,$N_C - 0.4kip$,0,70.87934494,11,-0.50910061,0.731393499,,
1825,1825,$600kN$,1,23.00101089,11,0.272390701,0.930635074,,
1826,1826,$0.12m^2$,1,185.8062651,11,-0.352089217,0.694545512,,
1831,1831,$2 \cdot V$,0,83.10003495,11,-0.150169581,0.880809041,,
1833,1833,$3.9kN$,0,76.58288193,11,0.114748864,0.374954668,,
